channelId,title,channelTitle,publishedAt
"UCYk4LJI0Pr6RBDWowMm-KUw","SHIN TAE-YONG - EXCLUSIVE DI CLOSETHEDOOR - Deddy Corbuzier Podcast","Deddy Corbuzier","2022-01-11T04:20:00Z"
"UCIqzqfsgUqctbM-MANntwuQ","Ih amis 🤣 #Shorts","Putih Abu-Abu","2022-01-12T06:13:21Z"
"UCo8h2TY_uBkAVUIc14m_KCA","Soal Tendang Sesajen, Ini Kata Abi Quraish Shihab | Shihab & Shihab","Najwa Shihab","2022-01-14T07:30:10Z"
"UCXWOf2fdWef8tbv1X27JHzw","NOAH - Bintang di Surga (Official Music Video)","NOAH OFFICIAL","2022-01-07T07:00:13Z"
"UCdygRiDGTM9kjc-7hrrB-7Q","INFO BMKG: Gempa Bumi 6,7 SR Guncang Jakarta dan Banten Sore Ini Jumat (14/1/2022)","HARIAN SURYA","2022-01-14T10:22:59Z"
"UCrrimexxJpH-zLIrg_IPV_w","KAKAK BERADIK PODCAST (LIVE 2 JAM) - DARI RUMAH SAKIT DIATAS TANAH KUBURAN","MOP Channel","2022-01-13T17:25:56Z"
"UCT-JXGYtExx9o0RCHGya34A","PRIVILEGE MENJADI GOOD LOOKING","CloseTheDoor Clips","2022-01-13T16:09:56Z"
"UCHtFT7XxFrP884G316SG3hw","Aku VS Emak ketika bikin susu panas | fikrifadlu","FIKRI Production","2022-01-08T11:26:59Z"
"UC0ohl1eKTtlJNqbD-HWRQVg","Back 4 Blood - Game Zombie Perusak Persahabatan","MILYHYA","2022-01-14T08:12:10Z"
"UCE0laCY30f_ky80J0BxD3dA","Lesti - Lentera | Official Music Video","3D Entertainment","2022-01-08T15:00:13Z"
"UClFN9LShD_Pv0wnSeUKbUZw","More fun experiments than ever 🙄🙄 #ThatLittlePuff #catsoftiktok #boostofhope #puffknowsbetter","That Little Puff","2022-01-09T01:12:46Z"
"UCYEa4_MC7OFjcWrO6SO-u8g","FERDINAND DITAHAN BENARKAH DITUMBALKAN?!","Indonesia Lawyers Club","2022-01-14T12:00:26Z"
"UC5BMIWZe9isJXLZZWPWvBlg","Debat Panas! Pelapor Gibran & Kaesang VS Eko Kuntadhi - ROSI","KOMPASTV","2022-01-14T05:19:34Z"
"UCYqOeAXJm8yV9sJ8Ud3cR7A","Gong!! Kiky Suca Bingung!! Raffi Ahmad Aib Aja Bisa Jadi Adsense | Konser Raya 27 Tahun Indosiar","Indosiar","2022-01-11T17:03:25Z"
"UCsX6KBGngxQNW6By9VVPBuw","ARVIAN DWI FT. TRI SUAKA - MELEPAS LAJANG (OFFICIAL MUSIC VIDEO)","TRISNA MUSIC","2022-01-06T10:00:12Z"
"UCzl0OrB3-ehunyotIQvK77A","Kick Andy: Mengapa Boikot Nikita Mirzani ?","metrotvnews","2022-01-10T05:47:25Z"
"UCEf_Bc-KVd7onSeifS3py9g","TAEYONG, JENO, HENDERY, YANGYANG, GISELLE 'ZOO' Stage Video","SMTOWN","2022-01-14T11:00:00Z"
"UC9WiAo2ikPC8bRuWV2tnpkg","Cerita putri duyung! - Saya memiliki Kekuatan Putri Duyung | Koleksi Ajaib Besar oleh FUN2U","FUN2U - Indonesian","2022-01-13T03:00:09Z"
"UCT-JXGYtExx9o0RCHGya34A","PESAN UNTUK ORANG KAYA YANG SUKA HAL INI!","CloseTheDoor Clips","2022-01-12T14:48:13Z"
"UCWV3obpZVGgJ3j9FVhEjF2Q","HIGHLIGHTS | FC Barcelona 2-3 Real Madrid | El Clásico!","Real Madrid","2022-01-12T22:51:41Z"
"UC3IZKseVpdzPSBaWxBxundA","ENHYPEN (엔하이픈) 'Blessed-Cursed' Official MV","HYBE LABELS","2022-01-10T08:55:12Z"
"UCYEa4_MC7OFjcWrO6SO-u8g","PANTASKAH BAHAR BIN SMITH DIPENJARA?!","Indonesia Lawyers Club","2022-01-07T13:00:18Z"
"UCJihkOSfgpDz_HHhkb-OGLQ","Duel Maut Terekam CCTV, Korban Tewas di Lokasi Kejadian #Gerebek 13/01","Buletin iNews","2022-01-14T03:59:58Z"
"UCepgnl-TtJ8DurHdC6EE22w","KUNGFU TEH BUNGA & KEPITING SINGAPOREAN SAUCE","Ria SW","2022-01-14T06:00:05Z"
"UCeIuST7AITAf34FvWq4GHwg","MINGWEIROCKS - Eating Girlfriend's PEANUT BUTTER Be Like... #shorts","mingweirocks","2022-01-05T05:00:17Z"
"UCItF4xm77w4FsKWT1gSKKOA","SING-OFF TIKTOK SONGS PART 7 Purple Raincoat vs Ghea Indrawari","RZD","2022-01-10T11:45:14Z"
"UCg8vVg3RliWcvnlbsI1AzMw","BETRAND PETO PUTRA ONSU & SARWENDAH - JANGAN DENGAR MEREKA ( OFFICIAL MUSIC VIDEO )","MOP Music Channel","2022-01-15T02:00:13Z"
"UCvc00uetYIML9D-7BBrEXLA","BEKAM EKSTRIM!!","Yudist Ardhana","2022-01-06T05:00:14Z"
"UCGN9JsnkvK05v2lnTI_-uGA","Terancam Gelap, Korsel Ngamuk ke RI","CNBC Indonesia","2022-01-10T03:21:03Z"
"UCDYTV5VU6XOSosqzx9gNABQ","SKILL BAHASA INGGRISNYA BILQIS TOP BANGET LOH | KONTES KDI 2021","KDI MNCTV","2022-01-10T17:14:09Z"
"UC8rHUssNDJ9YEjfduAqJBmw","LEGENDARIS! JUALAN MIE AYAM DARI 1986, PORSINYA GAK NGOTAK, HARGA MURAH!","tanboy kun","2022-01-11T04:30:09Z"
"UCvju1bMTtGHfJGel1_Vv4JA","INI JAWABAN TELAK TKO UNTUK GIRING KEJEBLOS DI LUMPUR!","VIDEO LEGEND","2022-01-11T04:37:22Z"
"UCER4rvDnRBPr_ncYW4UCZjg","DEBAT PANAS! Haikal VS Habib Kribo, Haikal: Saya Gak Sanggup Tanggapi Bahasa Habib yang Kasar Gini","tvOneNews ","2022-01-04T15:00:40Z"
"UCv6pNBPK9wlPsKhEwUKUocw","RRQ MIKA VS BELLETRON ERA | WOMAN STAR LEAGUE S4 REGULAR SEASON WEEK 3 DAY 2","Woman Star League","2022-01-14T14:54:17Z"
"UC43nz9qnZ7AIrbOlfxejTig","MAKEOVER KAMAR EKSTREM || Ide-Ide Dekor DIY Fantastis | Tutorial & Trik Parenting Keren oleh 123 GO!","123 GO! Indonesian","2022-01-14T14:00:10Z"
"UC7cTuJ22N0iIuEdYrEiMHTg","BAPER !!! SERASA DUNIA MILIK BERDUA VERRELL WILONA DI DUBAI","VRL Bramasta","2022-01-12T04:17:23Z"
"UCAdbNpr8dj9UUsgYrqln7nQ","HAPPY ASMARA - MADIUN NGAWI (Official Live Music)","RC Music","2022-01-09T12:00:14Z"
"UClQe4aR9qg0EpB1Gt5WoU1Q","İnteresting Great Treasure❗️","Arkeolog","2021-12-30T09:00:26Z"
"UC3yFi2eTanFWEE3_ln3XoaQ","NGAJAK PAK MENTERI ERICK THOHIR MAKAN DI WARUNG YANG BUKA DI LAHAN PERTAMINA!!!","Nex Carlos","2022-01-14T12:00:17Z"
"UC24_Z2L-8Ki183AI9zJJzNQ","Surprise! IKO UWAIS Datang, Pasukin Auto Ciut Nyalinya | LAPOR PAK! (13/01/22) Part 1","TRANS7 OFFICIAL","2022-01-13T22:00:11Z"
"UCBJeMCIeLQos7wacox4hmLQ","Inter 2-1 Juventus | A last-second winner by Alexis Sanchez! | Supercoppa Frecciarossa 2022","Serie A","2022-01-12T23:53:59Z"
"UCDYTV5VU6XOSosqzx9gNABQ","AYU TINGTING X BILQIS DYNAMITE BTS COVER | KONTES KDI 2021","KDI MNCTV","2022-01-10T17:12:50Z"
"UCciyMo0ShVMAlYp3SWAaBcw","VERRELL BIKIN WILONA SEBEL DI DUBAI, SETELAH 4 TAHUN LIBURAN BARENG LAGI..","Natasha Wilona","2022-01-13T05:12:03Z"
"UCUE-BF1Q5E6Sz1KidSnSRYw","PERTAMAKALI LAGU MELEPAS MASA LAJANG DI BAWA'IN PENCIPTANYA (TRI SUAKA)","musisi jogja project","2022-01-08T11:00:15Z"
"UC3J4Q1grz46bdJ7NJLd4DGw","Makin Sukses - Internet Cafe Simulator 2 Indonesia #7","MiawAug","2022-01-14T14:30:01Z"
"UC5vz17NqPNmW8g0u1M_l90A","Toyota Land Cruiser 300 2022 | First Drive | OtoDriver","Oto Driver","2022-01-14T12:58:26Z"
"UC5f5IV0Bf79YLp_p9nfInRA","Balloon Pop Racing Is INTENSE!! 🎈","How Ridiculous","2022-01-02T21:00:23Z"
"UCJVaPW0b3Aw4XfOiI0S7gwQ","NGAKAK!! ARAFAH HALDA SAINGAN CAPER KE FADLY FAISAL , GALA FUJI SAMPE DIBAWA-BAWA!!","WAW Entertainment","2022-01-09T12:00:11Z"
"UCT-JXGYtExx9o0RCHGya34A","DEDDY CORBUZIER MULAI DARI NOL!","CloseTheDoor Clips","2022-01-07T12:56:48Z"
"UCgkg-w1FnVyNbykGKhK46bw","MAMA HAMIL MELAHIRKAN BAYI SQUID GAME GARA2 MAIN SQUID GAME-DRAMA SAKURA SCHOOL SIMULATOR SSS","Nicole Annabelle","2022-01-13T05:58:54Z"
"UCdSYreAjNBPNLowdTShVFtA","[2022] Free Fire Master League Season V Divisi 2 - Match day 1","FF Esports ID","2022-01-14T15:13:36Z"
"UCGd6ly1Govd77mjyvSKjRtA","Doni Salmanan Nawar Porsche 911 Nggak Pakai Akhlak","Arief Muhammad","2022-01-09T03:00:18Z"
"UCkqMfKX1LxQiiqU7UyZH4nw","CHALLENGE SERU PLESETAN BAHASA INGGRIS!! #Shorts","Kampung Inggris LC - Language Center","2022-01-09T05:36:15Z"
"UCEdO8A1SpMMF47LuGGV1nMQ","YENI INKA - SAYANG ( Official Music Video ) Ft. BINTANG FORTUNA | aku kecapean seharian cari uang","MUARA BINTANG","2022-01-10T08:00:13Z"
"UCa3k1_nfBeXbf7be6Dcy_vQ","Nasib Malang Aminah - DMS [ Penelusuran ]","Sara Wijayanto","2022-01-08T15:33:03Z"
"UC6FjcBcH9NVHdfFSvNfHmuA","ENZY KEBAWA EMOSI SAMA ANYA LYDIA GERALDINE","KUY Entertainment","2022-01-07T09:00:15Z"
"UCsRCIwkrez96kJGZRjLN6UA","PERCIL CS Januari 2022 Anyar dan Terbaru Ki Minto Sudarsono judule Layangan Putus ben sangar","Jawanesia","2022-01-11T01:10:44Z"
"UCGN9JsnkvK05v2lnTI_-uGA","AS Pasang Badan Bela RI Lawan China di Laut Natuna","CNBC Indonesia","2022-01-14T02:46:03Z"
"UCxmrFvg9g2jdErW587nm7-g","20 Pengacara di Pihak Kim Hawt & Emma Warokka, demi Gala & almh. Vanessa Angel | TS Talks Eps.84 | 2","TS Media","2022-01-09T13:00:12Z"
"UCvju1bMTtGHfJGel1_Vv4JA","PASHA UNGU MENJAWAB GIRING","VIDEO LEGEND","2022-01-08T05:44:24Z"
"UC3yFi2eTanFWEE3_ln3XoaQ","NGAJAK JEROME POLIN MAKAN RAMEN DI GANG SEMPIT INI!!!","Nex Carlos","2022-01-09T12:00:11Z"
"UCn4YlYeuIjEziMtkU3z8QGA","11 CARA MENYELUNDUPKAN MAKANAN KE RUMAH SAKIT || Ide Lucu Menyelinapkan Makanan dari GOTCHA!","Gotcha! Indonesian","2022-01-11T04:00:14Z"
"UCvc00uetYIML9D-7BBrEXLA","LAGI TREND!! SENDOK UANG PAKAI SUTIL!!","Yudist Ardhana","2021-12-31T06:19:40Z"
"UC-S7cyZCojMeVopBkH6yNEw","MAKEOVER RUANGAN KEREN || Ide-Ide Dekor DIY Terkeren dengan DANA TERBATAS oleh 123 GO! CHALLENGE","123 GO! CHALLENGE Indonesian","2022-01-08T12:00:13Z"
"UCfP3A4Q2E2cgpk5QYXJ7mnw","BiBi harvests watermelons to make watermelon cake for baby monkey Obi","Happy Animals Home","2022-01-09T11:00:20Z"
"UCr5k1iu1hF_01O1AD1JzcFA","SAYA GAK BUTUH JEROME POLIN ❗❗ ANDA YANG BUTUH SAYA ❗","Arnold Poernomo","2022-01-11T11:00:13Z"
"UCoAFjWHxIgVj6ys6xkgwSzA","Dhola (Official Song) NK CINEMA","NK CINEMA","2022-01-09T11:53:35Z"
"UCovqoUzPm9_s6mMt9OiWKpA","Moeldoko dan Arteria Dahlan Tanggapi Pelaporan Gibran-Kaesang","Harian Kompas","2022-01-12T04:12:27Z"
"UChFRHojUZJ9KfC4SHcN5wZA","Ini Foto Terbaik Yang Bisa Dinikmati Igun Selama di INTM (1/4)","Indonesia's Next Top Models","2022-01-15T05:00:13Z"
"UCFPMEYNuM_UW-9X8QFGm1Ew","(COVER INDIA) Chahun Main Ya Naa - Putri Isnari & Ridwan","Putri Isnari","2022-01-09T09:00:12Z"
"UCf0bz1Ce62oxEffV_CgbFow","Vita Alvia - Cukup Langit Hang Gerigis (Official Music Video)","BANYUWANGI RECORD","2021-12-17T02:00:10Z"
"UC7B2kbI32oz3RSB5CsbPgkQ","WELCOME EVOS UNAA","EVOS TV","2022-01-11T12:00:24Z"
"UCb-ekPowbBlQhyt7ZXPiu5Q","TVアニメ「進撃の巨人」The Final Season Part 2ノンクレジットOP ｜SiM「The Rumbling」","ぽにきゃん-Anime PONY CANYON","2022-01-09T15:30:00Z"
"UC-z1ubmS-iHMVr83EEwRS2g","REWIND INDONESIA 2021","Indonesian Youtubers","2021-12-30T12:45:13Z"
"UCz7TiLOhZzVLe0XnTZGf17g","Tantangan Makanan Pink VS Hitam VS Biru | Makan 1 Warna Makanan Aja 24 Jam oleh RATATA BRILLIANT","RATATA BRILLIANT Indonesian","2022-01-09T03:00:05Z"
"UCh4F48uTUoNsiwtKmItNW2Q","Spoiled Baby Doll Squid Game - Scary Teacher 3D Sad Story Brave Police","Scary Teacher Love","2022-01-10T03:00:03Z"
"UCTCSS5AQlhqnvEUo_FQb_ZQ","Gapeduli Wr Fanny Berapapun Dan Baru Sadar Ternyata ...!! - Fanny Public Mode On!! - MOBILE LEGEND","Dwi Woii","2022-01-06T13:00:21Z"
"UCnrlTmgYcvQLa-m02kLf8gQ","Menghilang di Tengah Kabut Tebal - Gunung Agung #2","Dzawin Nur","2022-01-10T06:08:21Z"
"UCChcWqwYXCEs657MQ00qVWA","Manchester United v Aston Villa | Key Moments | Third Round | Emirates FA Cup 2021-22","The Emirates FA Cup","2022-01-10T22:04:18Z"
"UC4dcdJhFWEdtcDE5nABVmTQ","Masa Sulit Farida Nurhan, Pernah Tidak Makan 2 Hari Saat Sedang Menyusui","insertlive","2022-01-05T03:11:38Z"
"UClp5BC5q94WufuaOl667JtQ","AHMAD DHANI VS GIRING. SEPERTI ANAK PAUD LAWAN S3","Rocky Gerung Official","2022-01-09T06:45:12Z"
"UCcdX97nVNsZgAA0NxvHnU9w","GOT the beat 'Step Back' Stage Video","Girls On Top","2022-01-01T10:00:22Z"
"UC6FjcBcH9NVHdfFSvNfHmuA","RAFFI AHMAD DAH LAMA GAK NYIKAT GIGI | TERUS RAYYANZA ANAK SIAPA ?","KUY Entertainment","2022-01-03T10:00:05Z"
"UCh1SzxJAH9B5nZDYYa42UqQ","STAND UP COMEDY: PANDJI GITING","Pandji Pragiwaksono","2022-01-10T01:00:10Z"
